Q1,Q2,Q3_1,Q4,Q5,Q6,Q7,Q8,Q9.a,Q9.b,Q9.c,Q10,Q11,Q12,Q13,Q14
What is your age?,Gender,Text,Frequency of Social Media Use,"""I am more likely to consent to a privacy policy if it offers specific economic benefits, such as personalized content or enhanced features.""","""Are you less willing to consent to data sharing if you find the privacy policy complex?""","""Do you distrust social media platforms more when their privacy policies are written in complex and vague language?""","""I am aware that social media platforms may use my data for economic gains, and this influences how I perceive my ownership of the data.""","""How well do you understand the use of your data from the information provided in privacy policies?""","""Do you believe that social media platforms should explicitly mention any economic benefits they gain from your data in their privacy policies?""","""How does mentioning economic benefits in privacy policies change your decision to share data?"" (Optional)","""How well do you think your understanding of data ownership rights aligns with the data practices of social media platforms?""","""Does knowing how a social media platform uses your data for economic gains affect your trust in the platform?""","""How does a social media platform's clear disclosure of its economic benefits from your data usage influence your willingness to engage with its services?""","""When a social media platform changes its policy...""","""How does the frequency of notifications from the platform about changes in data use affect your decision to continue using the service?"""
,,,,,,,,,,,,,,,
18 - 24,Male,Greece,Several times a day,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Do not understand at all,,,Not at all aligned,Significantly decreases trust,Greatly decreases my willingness,I generally ignore policy updates,Greatly decreases my willingness to continue
18 - 24,Female,United Kingdom,Several times a day,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Do not understand at all,,,Not at all aligned,Significantly decreases trust,Greatly decreases my willingness,I skim the policy for key changes,Greatly decreases my willingness to continue
45 - 54,Male,Taiwan,Several times a day,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Do not understand at all,,,Not at all aligned,Significantly decreases trust,Greatly decreases my willingness,I skim the policy for key changes,Greatly decreases my willingness to continue
18 - 24,Female,Cyprus ,Several times a day,Agree,Agree,Agree,Agree,Neither understand nor misunderstand,Neither agree nor disagree,,Slightly aligned,Somewhat increases trust,Somewhat increases my willingness,I skim the policy for key changes,No effect on my willingness to continue
18 - 24,Female,Cyprus,Several times a day,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat understand,Strongly agree,,Slightly aligned,Somewhat increases trust,Somewhat increases my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,Ecuador ,Several times a day,Strongly agree,Agree,Strongly agree,Agree,Somewhat do not understand,Strongly agree,"It would make me more aware of how I can be perceived as a product by social media, and could potentionally want to bargain my position ",Slightly aligned,Somewhat decreases trust,Somewhat increases my willingness,I skim the policy for key changes,Greatly decreases my willingness to continue
18 - 24,Female,Cyprus,Several times a day,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Do not understand at all,Strongly disagree,It doesn't!,Moderately aligned,No effect on trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
18 - 24,Female,Netherlands,Several times a day,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Do not understand at all,Agree,,Not at all aligned,Significantly increases trust,No effect on my willingness,I am seldom aware of policy changes,No effect on my willingness to continue
18 - 24,Female,Poland,Several times a day,Neither agree nor disagree,Agree,Agree,Agree,Somewhat understand,Strongly agree,,Moderately aligned,Somewhat increases trust,Somewhat increases my willingness,I skim the policy for key changes,No effect on my willingness to continue
18 - 24,Female,Greece ,Several times a day,Disagree,Agree,Agree,Neither agree nor disagree,Neither understand nor misunderstand,Agree,,Moderately aligned,No effect on trust,No effect on my willingness,I generally ignore policy updates,No effect on my willingness to continue
